2013-12-19 01:59:48	admin	http://localhost/comTrac/mailer/	Error: 	Exception: This request was aborted because it appears to be forged. (in C:\xampp\htdocs\comTrac\wire\core\SessionCSRF.php line 80)  #0 C:\xampp\htdocs\comTrac\site\templates\process_action.php(42): SessionCSRF->validate() #1 C:\xampp\htdocs\comTrac\wire\core\TemplateFile.php(125): require('C:\xampp\htdocs...') #2 [internal function]: TemplateFile->___render() #3 C:\xampp\htdocs\comTrac\wire\core\Wire.php(271): call_user_func_array(Array, Array) #4 C:\xampp\htdocs\comTrac\wire\core\Wire.php(229): Wire->runHooks('render', Array) #5 C:\xampp\htdocs\comTrac\wire\modules\PageRender.module(250): Wire->__call('render', Array) #6 C:\xampp\htdocs\comTrac\wire\modules\PageRender.module(250): TemplateFile->render() #7 [internal function]: PageRender->___renderPage(Object(HookEvent)) #8 C:\xampp\htdocs\comTrac\wire\core\Wire.php(271): call_user_func_array(Array, Array) #9 C:\xampp\htdocs\comTrac\wire\core\Wire.php(229): Wire->runHooks('renderPage', Array) #10 C:\xampp\htdocs\comTrac\wire\core\Wire.php(293): Wire->__call
2013-12-19 01:59:57	admin	http://localhost/comTrac/mailer/	Error: 	Call to a member function get() on a non-object (line 32 of C:\xampp\htdocs\comTrac\site\templates\process_action.php)
2013-12-19 02:00:35	admin	http://localhost/comTrac/mailer/	Error: 	Call to a member function get() on a non-object (line 32 of C:\xampp\htdocs\comTrac\site\templates\process_action.php)
2013-12-19 02:00:40	admin	http://localhost/comTrac/mailer/	Error: 	Call to a member function get() on a non-object (line 32 of C:\xampp\htdocs\comTrac\site\templates\process_action.php)
2013-12-19 02:00:45	admin	http://localhost/comTrac/mailer/	Error: 	Call to a member function get() on a non-object (line 32 of C:\xampp\htdocs\comTrac\site\templates\process_action.php)
2013-12-19 02:00:52	admin	http://localhost/comTrac/mailer/	Error: 	Call to a member function get() on a non-object (line 32 of C:\xampp\htdocs\comTrac\site\templates\process_action.php)
2013-12-19 02:02:35	admin	http://localhost/comTrac/mailer/	Error: 	Call to a member function get() on a non-object (line 32 of C:\xampp\htdocs\comTrac\site\templates\process_action.php)
2013-12-20 03:51:36	admin	http://localhost/comTrac/solutions/criminal-investigations/	Compile Error: 	Can't use method return value in write context (line 32 of C:\xampp\htdocs\comTrac\site\templates\solutions.php)
2013-12-20 03:52:15	admin	http://localhost/comTrac/solutions/criminal-investigations/	Compile Error: 	Can't use method return value in write context (line 32 of C:\xampp\htdocs\comTrac\site\templates\solutions.php)
2013-12-20 03:52:17	admin	http://localhost/comTrac/solutions/criminal-investigations/	Compile Error: 	Can't use method return value in write context (line 32 of C:\xampp\htdocs\comTrac\site\templates\solutions.php)
